,Date,Monthly_MSL
507,1991-01-01,7.051
508,1991-02-01,6.947
509,1991-03-01,6.917
510,1991-04-01,6.948
511,1991-05-01,7.022
512,1991-06-01,6.989
513,1991-07-01,7.023
514,1991-08-01,7.019
515,1991-09-01,7.058
516,1991-10-01,7.035
517,1991-11-01,7.056
518,1991-12-01,6.989
519,1992-01-01,7.051
520,1992-02-01,7.027
521,1992-03-01,7.197
522,1992-04-01,7.078
523,1992-05-01,7.072
524,1992-06-01,7.069
525,1992-07-01,7.003
526,1992-08-01,7.089
527,1992-09-01,7.128
528,1992-10-01,7.105
529,1992-11-01,7.046
530,1992-12-01,7.049
531,1993-01-01,7.051
532,1993-02-01,7.037
533,1993-03-01,7.027
534,1993-04-01,6.978
535,1993-05-01,7.022
536,1993-06-01,7.029
537,1993-07-01,7.053
538,1993-10-01,7.105
539,1993-11-01,7.066
540,1993-12-01,7.059
541,1994-01-01,7.071
542,1994-02-01,7.107
543,1994-03-01,6.977
544,1994-04-01,6.988
545,1994-05-01,6.982
546,1994-06-01,6.989
547,1994-07-01,7.003
548,1994-08-01,6.989
549,1994-09-01,7.058
550,1994-10-01,7.015
551,1994-11-01,7.066
552,1994-12-01,7.159
553,1995-01-01,6.901
554,1995-02-01,7.087
555,1995-03-01,7.007
556,1995-04-01,6.998
557,1995-05-01,6.922
558,1995-06-01,6.959
559,1995-07-01,6.933
560,1995-08-01,6.999
561,1995-09-01,7.008
562,1995-10-01,6.975
563,1995-11-01,6.996
564,1995-12-01,6.959
565,1996-01-01,6.991
566,1996-02-01,7.017
567,1996-03-01,6.967
568,1996-04-01,6.938
569,1996-05-01,6.952
570,1996-06-01,6.959
571,1996-07-01,6.973
572,1996-08-01,6.959
573,1996-09-01,6.958
574,1996-10-01,6.945
575,1996-11-01,6.976
576,1996-12-01,6.939
577,1997-01-01,6.961
578,1997-02-01,7.007
579,1997-03-01,7.047
580,1997-04-01,7.088
581,1997-05-01,7.142
582,1997-06-01,7.069
583,1997-07-01,7.063
584,1997-08-01,6.989
585,1997-09-01,7.008
586,1997-10-01,7.005
587,1997-11-01,7.006
588,1997-12-01,7.169
589,1998-01-01,7.141
590,1998-02-01,7.007
591,1998-03-01,7.037
592,1998-04-01,6.978
593,1998-05-01,6.982
594,1998-06-01,6.949
595,1998-07-01,6.953
596,1998-08-01,6.929
597,1998-09-01,6.928
598,1998-10-01,6.935
599,1998-11-01,6.946
600,1998-12-01,6.999
601,1999-01-01,6.971
602,1999-02-01,6.997
603,1999-03-01,7.017
604,1999-04-01,7.028
605,1999-05-01,6.992
606,1999-06-01,6.999
607,1999-07-01,6.973
608,1999-08-01,7.009
609,1999-09-01,6.948
610,2000-01-01,6.981
611,2000-02-01,6.937
612,2000-04-01,6.978
613,2000-05-01,7.012
614,2000-06-01,6.969
615,2000-07-01,6.983
616,2000-08-01,6.969
617,2000-09-01,6.988
618,2001-04-01,7.058
619,2001-05-01,7.052
620,2001-06-01,7.049
621,2001-07-01,7.073
622,2001-08-01,7.059
623,2001-09-01,7.048
624,2001-12-01,6.959
625,2002-01-01,6.941
626,2002-03-01,6.977
627,2002-04-01,6.988
628,2002-05-01,6.992
629,2002-06-01,6.989
630,2002-07-01,7.033
631,2002-08-01,7.019
632,2002-12-01,7.099
633,2003-01-01,7.041
634,2003-02-01,7.057
635,2003-03-01,7.047
636,2003-04-01,7.078
637,2003-05-01,7.092
638,2003-06-01,7.099
639,2003-07-01,7.133
640,2003-08-01,7.139
641,2003-09-01,7.118
642,2003-10-01,7.135
643,2003-11-01,7.136
644,2003-12-01,7.109
645,2004-01-01,7.091
646,2004-02-01,7.077
647,2004-03-01,7.117
648,2004-04-01,7.018
649,2004-05-01,7.062
650,2004-06-01,7.069
651,2004-07-01,7.053
652,2004-08-01,7.079
