,Date,Monthly_MSL
731,1974-09-01,0.0
732,1974-10-01,0.049
733,1974-11-01,-0.053
734,1974-12-01,-0.086
735,1975-01-01,-0.084
736,1975-02-01,0.023
737,1975-03-01,0.005
738,1975-04-01,-0.005
739,1975-05-01,0.014
740,1975-06-01,0.01
741,1975-07-01,0.045
742,1975-08-01,-0.003
743,1975-09-01,-0.046
744,1975-10-01,-0.116
745,1975-11-01,-0.038
746,1975-12-01,0.017
747,1976-01-01,-0.105
748,1976-02-01,-0.126
749,1976-03-01,-0.077
750,1976-04-01,-0.078
751,1976-05-01,-0.08
752,1976-06-01,-0.02
753,1976-07-01,-0.074
754,1976-08-01,-0.077
755,1976-09-01,-0.089
756,1976-10-01,-0.094
757,1976-11-01,-0.102
758,1976-12-01,-0.013
759,1977-01-01,-0.081
760,1977-02-01,-0.141
761,1977-03-01,-0.074
762,1977-04-01,-0.072
763,1977-05-01,0.008
764,1977-06-01,-0.039
765,1977-07-01,-0.047
766,1977-08-01,-0.031
767,1977-09-01,-0.019
768,1977-10-01,-0.119
769,1977-11-01,-0.032
770,1977-12-01,-0.029
771,1978-01-01,-0.081
772,1978-02-01,-0.022
773,1978-03-01,-0.031
774,1978-04-01,-0.069
775,1978-05-01,-0.047
776,1978-06-01,-0.002
777,1978-07-01,-0.022
778,1978-08-01,-0.052
779,1978-09-01,-0.04
780,1978-10-01,0.022
781,1978-11-01,-0.017
782,1978-12-01,-0.029
783,1979-01-01,0.01
784,1979-02-01,-0.074
785,1979-03-01,-0.025
786,1979-04-01,-0.056
787,1979-05-01,-0.077
788,1979-06-01,0.001
789,1979-07-01,-0.035
790,1979-08-01,-0.043
791,1979-09-01,-0.003
792,1979-10-01,-0.064
793,1979-11-01,-0.075
794,1979-12-01,-0.007
795,1980-01-01,0.023
796,1980-02-01,0.014
797,1980-03-01,-0.062
798,1980-04-01,-0.014
799,1980-05-01,0.014
800,1980-06-01,0.013
801,1980-07-01,-0.013
802,1980-08-01,-0.04
803,1980-09-01,-0.043
804,1980-10-01,-0.106
805,1980-11-01,-0.017
806,1980-12-01,-0.068
807,1981-01-01,-0.045
808,1981-02-01,-0.029
809,1981-03-01,-0.022
810,1981-04-01,-0.02
811,1981-05-01,-0.013
812,1981-06-01,-0.063
813,1981-07-01,0.014
814,1981-08-01,-0.028
815,1981-09-01,-0.091
816,1981-10-01,-0.076
817,1981-11-01,0.014
818,1981-12-01,-0.062
819,1982-01-01,-0.081
820,1982-02-01,-0.059
821,1982-03-01,-0.001
822,1982-04-01,-0.02
823,1982-05-01,-0.029
824,1982-06-01,-0.02
825,1982-07-01,-0.038
826,1982-08-01,-0.067
827,1982-09-01,-0.019
828,1982-10-01,0.0
829,1982-11-01,0.023
830,1982-12-01,0.026
831,1983-01-01,0.053
832,1983-02-01,0.048
833,1983-03-01,0.048
834,1983-04-01,-0.047
835,1983-05-01,-0.083
836,1983-06-01,-0.048
837,1983-07-01,-0.013
838,1983-08-01,-0.058
839,1983-09-01,-0.074
840,1983-10-01,-0.024
841,1983-11-01,-0.018
842,1983-12-01,-0.062
843,1984-01-01,0.044
844,1984-02-01,-0.007
845,1984-03-01,0.011
846,1984-04-01,-0.032
847,1984-05-01,-0.09
848,1984-06-01,-0.072
849,1984-07-01,-0.114
850,1984-08-01,-0.064
851,1984-09-01,0.015
852,1984-10-01,0.009
853,1984-11-01,0.029
854,1984-12-01,0.02
855,1985-01-01,0.032
856,1985-02-01,-0.025
857,1985-03-01,-0.022
858,1985-04-01,-0.084
859,1985-05-01,-0.007
860,1985-06-01,-0.011
861,1985-07-01,-0.044
862,1985-08-01,0.015
863,1985-09-01,-0.043
864,1985-10-01,0.022
865,1985-11-01,-0.026
866,1985-12-01,-0.022
867,1986-01-01,-0.011
868,1986-02-01,0.023
869,1986-03-01,-0.038
870,1986-04-01,0.059
871,1986-05-01,0.106
872,1986-06-01,0.053
873,1986-07-01,-0.022
874,1986-08-01,-0.043
875,1986-09-01,0.03
876,1986-10-01,0.031
877,1986-11-01,-0.017
878,1986-12-01,0.039
879,1987-01-01,0.044
880,1987-02-01,0.011
881,1987-03-01,0.097
882,1987-04-01,-0.026
883,1987-05-01,-0.004
884,1987-06-01,-0.06
885,1987-07-01,-0.022
886,1987-08-01,-0.049
887,1987-09-01,-0.107
888,1987-10-01,-0.055
889,1987-11-01,0.041
890,1987-12-01,0.032
891,1988-01-01,0.016
892,1988-02-01,0.035
893,1988-03-01,-0.053
894,1988-04-01,-0.029
895,1988-05-01,-0.068
896,1988-06-01,-0.002
897,1988-07-01,-0.035
898,1988-08-01,-0.083
899,1988-09-01,-0.028
900,1988-10-01,-0.018
901,1988-11-01,-0.026
902,1988-12-01,-0.032
903,1989-01-01,-0.048
904,1989-02-01,0.032
905,1989-03-01,0.011
906,1989-04-01,-0.066
907,1989-05-01,-0.053
908,1989-06-01,-0.036
909,1989-07-01,0.005
910,1989-08-01,0.006
911,1989-09-01,-0.019
912,1989-10-01,-0.064
913,1989-11-01,-0.111
914,1989-12-01,-0.178
915,1990-01-01,-0.096
916,1990-02-01,-0.096
917,1990-03-01,0.033
918,1990-04-01,0.023
919,1990-05-01,0.008
920,1990-06-01,-0.06
921,1990-07-01,-0.025
922,1990-08-01,0.012
923,1990-09-01,-0.049
924,1990-10-01,-0.03
925,1990-11-01,0.011
926,1990-12-01,-0.053
927,1991-01-01,0.062
928,1991-02-01,0.008
929,1991-03-01,0.023
930,1991-04-01,0.02
931,1991-05-01,0.002
932,1991-06-01,0.077
933,1991-07-01,0.045
934,1991-08-01,0.024
935,1991-09-01,0.07
936,1991-10-01,0.067
937,1991-11-01,0.068
938,1991-12-01,-0.022
939,1992-01-01,0.038
940,1992-02-01,0.005
941,1992-03-01,-0.01
942,1992-04-01,0.02
943,1992-05-01,0.005
944,1992-06-01,0.059
945,1992-07-01,0.026
946,1992-08-01,-0.006
947,1992-09-01,0.018
948,1992-10-01,0.079
949,1992-11-01,0.011
950,1992-12-01,0.005
951,1993-01-01,0.077
952,1993-02-01,0.09
953,1993-03-01,-0.047
954,1993-04-01,-0.011
955,1993-05-01,-0.001
956,1993-06-01,-0.011
957,1993-07-01,-0.004
958,1993-08-01,-0.025
959,1993-09-01,-0.022
960,1993-10-01,0.006
961,1993-11-01,0.032
962,1993-12-01,0.075
963,1994-01-01,-0.029
964,1994-02-01,0.029
965,1994-03-01,-0.013
966,1994-04-01,-0.015
967,1994-05-01,0.009
968,1994-06-01,0.007
969,1994-07-01,-0.021
970,1994-08-01,0.0
971,1994-09-01,0.022
972,1994-10-01,0.016
973,1994-11-01,0.063
974,1994-12-01,0.104
975,1995-01-01,-0.003
976,1995-02-01,-0.082
977,1995-03-01,0.077
978,1995-04-01,0.08
979,1995-05-01,0.051
980,1995-06-01,-0.009
981,1995-07-01,0.042
982,1995-08-01,0.062
983,1995-09-01,0.111
984,1995-10-01,0.084
985,1995-11-01,0.003
986,1995-12-01,0.046
987,1996-01-01,0.013
988,1996-02-01,-0.068
989,1996-03-01,-0.06
990,1996-04-01,-0.002
991,1996-05-01,-0.034
992,1996-06-01,-0.088
993,1996-07-01,-0.053
994,1996-08-01,-0.074
995,1996-09-01,-0.111
996,1996-10-01,-0.032
997,1996-11-01,0.023
998,1996-12-01,-0.012
999,1997-01-01,0.011
1000,1997-02-01,0.028
1001,1997-03-01,0.034
1002,1997-04-01,0.067
1003,1997-05-01,0.01
1004,1997-06-01,0.029
