Date,Monthly_MSL
1958-02-01,7.108
1958-03-01,6.992
1958-04-01,6.84
1958-05-01,7.162
1958-06-01,6.974
1958-07-01,6.991
1958-08-01,7.039
1958-09-01,6.837
1958-10-01,6.984
1958-11-01,6.928
1958-12-01,6.963
1959-01-01,7.165
1959-02-01,6.977
1959-03-01,7.012
1959-04-01,7.037
1959-05-01,6.9
1959-06-01,7.023
1959-07-01,6.945
1959-08-01,6.882
1959-09-01,6.97
1959-10-01,6.901
1959-11-01,6.831
1959-12-01,6.589
1960-01-01,6.852
1960-02-01,6.78
1960-03-01,6.666
1960-04-01,6.79
1960-05-01,6.969
1960-06-01,7.004
1960-07-01,7.025
1960-08-01,7.035
1960-09-01,7.02
1960-10-01,6.774
1960-11-01,6.827
1960-12-01,7.049
1961-01-01,6.814
1961-02-01,7.013
1961-03-01,7.282
1961-04-01,7.202
1961-05-01,7.099
1961-06-01,7.162
1961-07-01,7.237
1961-08-01,7.193
1961-09-01,7.078
1961-10-01,6.859
1961-11-01,7.042
1961-12-01,7.027
1962-01-01,7.176
1962-02-01,7.23
1962-03-01,6.921
1962-04-01,6.963
1962-05-01,7.017
1962-06-01,7.04
1962-07-01,7.072
1962-08-01,7.061
1962-09-01,7.203
1962-10-01,6.957
1962-11-01,6.858
1962-12-01,6.967
1963-01-01,6.76
1963-02-01,6.787
1963-03-01,6.827
1963-04-01,6.758
1963-05-01,6.888
1963-06-01,6.848
1963-07-01,6.926
1963-08-01,6.915
1963-09-01,6.866
1963-10-01,7.157
1963-11-01,7.051
1963-12-01,6.914
1964-01-01,6.956
1964-02-01,7.084
1964-03-01,6.69
1964-04-01,6.761
1964-05-01,7.046
1964-06-01,6.959
1964-07-01,7.018
1964-08-01,6.987
1964-09-01,7.051
1964-10-01,6.964
1964-11-01,7.001
1964-12-01,7.091
1965-01-01,7.005
1965-02-01,6.964
1965-03-01,6.92
1965-04-01,6.921
1965-05-01,6.888
1965-06-01,6.896
1965-07-01,7.084
1965-08-01,7.001
1965-09-01,6.968
1965-10-01,6.887
1965-11-01,7.016
1965-12-01,6.947
1966-01-01,6.746
1966-02-01,6.744
1966-03-01,7.154
1966-04-01,6.949
1966-05-01,6.96
1966-06-01,6.96
1966-07-01,7.009
1966-08-01,6.958
1966-09-01,7.072
1966-10-01,6.933
1966-11-01,6.787
1966-12-01,6.96
1967-01-01,7.0
1967-02-01,6.929
1967-03-01,7.362
1967-04-01,7.195
1967-05-01,7.075
1967-06-01,7.007
1967-07-01,6.952
1967-08-01,6.997
1967-09-01,6.946
1967-10-01,7.18
1967-11-01,7.114
1967-12-01,7.168
1968-01-01,7.017
1968-02-01,7.053
1968-03-01,7.131
1968-04-01,7.121
1968-05-01,7.017
1968-06-01,6.831
1968-07-01,6.917
1968-08-01,6.801
1968-09-01,6.724
1968-10-01,6.938
1968-11-01,6.822
1968-12-01,6.763
1969-01-01,6.675
1969-02-01,6.799
1969-03-01,6.635
1969-04-01,6.923
1969-05-01,6.911
1969-06-01,6.874
1969-07-01,6.958
1969-08-01,6.763
1969-09-01,6.914
1969-10-01,7.025
1969-11-01,7.338
1969-12-01,6.835
1970-01-01,6.607
1970-02-01,6.757
1970-03-01,6.869
1970-04-01,7.063
1970-05-01,6.983
1970-06-01,6.917
1970-07-01,6.983
1970-08-01,6.894
1970-09-01,6.97
1970-10-01,6.982
1970-11-01,7.144
1970-12-01,6.982
1971-01-01,6.893
1971-02-01,6.981
1971-03-01,6.941
1971-04-01,6.873
1971-05-01,6.883
1971-06-01,6.865
1971-07-01,6.995
1971-08-01,6.864
1971-09-01,6.916
1971-10-01,7.037
1971-11-01,7.168
1971-12-01,7.125
1972-01-01,6.7
1972-02-01,6.586
1972-03-01,6.656
1972-04-01,7.022
1972-05-01,6.86
1972-06-01,6.955
1972-07-01,6.855
1972-08-01,6.838
1972-09-01,6.843
1972-10-01,6.879
1972-11-01,7.192
1972-12-01,7.083
1973-01-01,6.8
1973-02-01,7.092
1973-03-01,7.07
1973-04-01,7.154
1973-05-01,6.985
1973-06-01,6.932
1973-07-01,6.909
1973-08-01,6.916
1973-09-01,6.939
1973-10-01,6.85
1973-11-01,7.125
1973-12-01,7.198
1974-01-01,6.943
1974-02-01,6.971
1974-03-01,6.671
1974-04-01,6.741
1974-05-01,6.746
1974-06-01,6.989
1974-07-01,7.138
1974-08-01,7.008
1974-09-01,6.877
1974-10-01,7.008
1974-11-01,6.997
1974-12-01,7.257
1975-01-01,7.362
1975-02-01,6.98
1975-03-01,6.895
1975-04-01,6.915
1975-05-01,6.926
1975-06-01,6.922
1975-07-01,6.828
1975-08-01,6.868
1975-09-01,6.892
1975-10-01,6.924
1975-11-01,6.775
1975-12-01,7.017
1976-01-01,7.34
1976-02-01,6.817
1976-03-01,6.808
1976-04-01,6.976
1976-05-01,6.9
1976-06-01,6.906
1976-07-01,6.814
1976-08-01,6.836
1976-09-01,6.757
1976-10-01,6.543
1976-11-01,6.669
1976-12-01,6.951
1977-01-01,6.768
1977-02-01,6.73
1977-03-01,6.907
1977-04-01,7.018
1977-05-01,6.938
1977-06-01,6.86
1977-07-01,6.972
1977-08-01,6.757
1977-09-01,6.889
1977-10-01,6.899
1977-11-01,7.2
1977-12-01,6.84
1978-01-01,6.973
1978-02-01,6.649
1978-03-01,6.926
1978-04-01,6.802
1978-05-01,6.671
1978-06-01,6.83
1978-07-01,6.889
1978-08-01,6.847
1978-09-01,7.201
1978-10-01,7.002
1978-11-01,7.124
1978-12-01,6.739
1979-01-01,6.628
1979-02-01,6.764
1979-03-01,6.888
1979-04-01,6.756
1979-05-01,6.94
1979-06-01,6.809
1979-07-01,7.07
1979-08-01,6.934
1979-09-01,7.032
1979-10-01,6.852
1979-11-01,6.824
1979-12-01,6.982
1980-01-01,6.726
1980-02-01,6.641
1980-03-01,6.62
1980-04-01,6.841
1980-05-01,6.83
1980-06-01,6.858
1980-07-01,6.858
1980-08-01,6.853
1980-09-01,6.913
1980-10-01,7.042
1980-11-01,6.982
1980-12-01,7.154
1981-01-01,7.179
1981-02-01,7.144
1981-03-01,6.848
1981-04-01,6.818
1981-05-01,6.858
1981-06-01,6.955
1981-07-01,6.93
1981-08-01,6.965
1981-09-01,6.809
1981-10-01,6.998
1981-11-01,7.213
1981-12-01,7.155
1982-01-01,6.8
1982-02-01,6.827
1982-03-01,6.94
1982-04-01,7.049
1982-05-01,7.046
1982-06-01,6.836
1982-07-01,6.789
1982-08-01,6.836
1982-09-01,6.987
1982-10-01,6.695
1982-11-01,6.942
1982-12-01,7.073
1983-01-01,7.378
1983-02-01,7.139
1983-03-01,6.988
1983-04-01,6.941
1983-05-01,6.858
1983-06-01,6.872
1983-07-01,6.859
1983-08-01,6.846
1983-09-01,6.95
1983-10-01,7.188
1983-11-01,7.186
1983-12-01,6.966
1984-01-01,7.243
1984-02-01,6.781
1984-03-01,6.655
1984-04-01,6.774
1984-05-01,6.823
1984-06-01,6.87
1984-07-01,6.971
1984-08-01,6.802
1984-09-01,6.934
1984-10-01,7.056
1984-11-01,6.788
1984-12-01,6.795
1985-01-01,6.664
1985-02-01,6.77
1985-03-01,6.722
1985-04-01,6.871
1985-05-01,6.854
1985-06-01,6.903
1985-07-01,6.893
1985-08-01,6.9
1985-09-01,7.053
1985-10-01,6.959
1985-11-01,6.986
1985-12-01,6.899
1986-01-01,6.97
1986-02-01,6.578
1986-03-01,6.708
1986-04-01,6.784
1986-05-01,6.848
1986-06-01,6.836
1986-07-01,6.905
1986-08-01,6.841
1986-09-01,7.046
1986-10-01,7.003
1986-11-01,7.089
1986-12-01,7.111
1987-01-01,6.709
1987-02-01,6.884
1987-03-01,6.667
1987-04-01,6.758
1987-05-01,6.948
1987-06-01,6.885
1987-07-01,6.862
1987-08-01,6.977
1987-09-01,7.01
1987-10-01,6.849
1987-11-01,6.837
1987-12-01,6.865
1988-01-01,7.061
1988-02-01,6.929
1988-03-01,6.966
1988-04-01,6.898
1988-05-01,6.807
1988-06-01,6.837
1988-07-01,6.742
1988-08-01,6.973
1988-09-01,6.962
1988-10-01,6.925
1988-11-01,6.911
1988-12-01,7.029
1989-01-01,7.215
1989-02-01,7.368
1989-03-01,7.203
1989-04-01,6.927
1989-05-01,7.013
1989-06-01,6.884
1989-07-01,6.854
1989-08-01,6.991
1989-09-01,6.832
1989-10-01,6.964
1989-11-01,6.907
1989-12-01,6.933
1990-01-01,7.09
1990-02-01,7.276
1990-03-01,7.507
1990-04-01,7.093
1990-05-01,6.91
1990-06-01,6.855
1990-07-01,6.944
1990-08-01,6.883
1990-09-01,6.918
1990-10-01,6.971
1990-11-01,6.874
1990-12-01,6.801
1991-01-01,6.965
1991-02-01,6.698
1991-03-01,6.7
1991-04-01,6.816
1991-05-01,6.858
1991-06-01,6.951
1991-07-01,6.871
1991-08-01,6.88
1991-09-01,6.881
1991-10-01,6.889
1991-11-01,6.841
1991-12-01,6.889
1992-01-01,7.116
1992-02-01,7.012
1992-03-01,7.06
1992-04-01,6.926
1992-05-01,6.952
1992-06-01,6.688
1992-07-01,6.759
1992-08-01,6.926
1992-09-01,6.887
1992-10-01,6.704
1992-11-01,6.933
1992-12-01,6.896
1993-01-01,7.022
1993-02-01,7.104
1993-03-01,6.932
1993-04-01,6.785
1993-05-01,6.729
1993-06-01,6.9
1993-07-01,6.978
1993-08-01,6.938
1993-09-01,6.746
1993-10-01,6.571
1993-11-01,6.536
1993-12-01,6.761
1994-01-01,6.895
1994-02-01,6.757
1994-03-01,6.932
1994-04-01,6.912
1994-05-01,6.768
1994-06-01,7.014
1994-07-01,6.75
1994-08-01,6.724
