Year, Month, Monthly_MSL
1985,4,7.157
1985,5,7.188
1985,6,7.292
1985,7,7.230
1985,8,7.229
1985,9,7.195
1985,10,7.200
1985,11,7.154
1985,12,7.150
1986,1,7.142
1986,2,7.145
1986,3,7.164
1986,4,7.157
1986,5,7.188
1986,6,7.162
1986,7,7.150
1986,8,7.219
1986,9,7.185
1986,10,7.140
1986,11,7.194
1986,12,7.120
1987,1,7.112
1987,2,7.085
1987,3,7.094
1987,4,7.117
1987,5,7.098
1987,6,7.162
1987,7,7.120
1987,8,7.089
1987,9,7.115
1987,10,7.160
1987,11,7.124
1987,12,7.190
1988,1,7.192
1988,2,7.215
1988,3,7.214
1988,4,7.207
1988,5,7.208
1988,6,7.222
1988,7,7.170
1988,8,7.139
1988,9,7.185
1988,10,7.270
1988,11,7.224
1988,12,7.190
1989,1,7.222
1989,2,7.215
1989,3,7.254
1989,4,7.287
1989,5,7.228
1989,6,7.222
1989,7,7.210
1989,8,7.239
1989,9,7.185
1989,10,7.230
1989,11,7.204
1989,12,7.170
1990,1,7.192
1990,2,7.155
1990,3,7.124
1990,4,7.167
1990,5,7.178
1990,6,7.222
1990,10,7.160
1990,11,7.224
1990,12,7.150
1991,1,7.142
1991,2,7.175
1991,3,7.154
1991,4,7.167
1991,5,7.198
1991,6,7.182
1991,7,7.180
1991,8,7.219
1991,9,7.275
1991,10,7.240
1991,11,7.194
1991,12,7.160
1992,1,7.192
1992,2,7.215
1992,3,7.204
1992,4,7.227
1992,5,7.218
1992,6,7.242
1992,7,7.180
1992,8,7.249
1992,9,7.275
1992,10,7.270
1992,11,7.224
1992,12,7.200
1993,1,7.202
1993,2,7.185
1993,3,7.194
1993,4,7.207
1993,5,7.208
1993,6,7.212
1993,7,7.200
1993,8,7.199
1993,9,7.205
1993,10,7.250
1993,11,7.224
1993,12,7.250
1994,1,7.332
1994,2,7.315
1994,3,7.344
1994,4,7.347
1994,5,7.318
1994,6,7.272
1994,7,7.310
1994,8,7.249
1994,9,7.225
1994,10,7.220
1994,11,7.204
1994,12,7.220
1995,1,7.222
1995,2,7.235
1995,3,7.244
1995,4,7.247
1995,5,7.258
1995,6,7.242
1995,7,7.220
1995,8,7.209
1995,9,7.275
1995,10,7.260
1995,11,7.334
1995,12,7.310
1996,1,7.322
1996,2,7.295
1996,3,7.314
1996,4,7.387
1996,5,7.398
1996,6,7.332
1996,7,7.360
1996,8,7.329
1996,9,7.385
1996,10,7.340
1996,11,7.374
1996,12,7.350
1997,1,7.362
1997,2,7.345
1997,3,7.284
1997,4,7.277
1997,5,7.328
1997,6,7.312
1997,7,7.290
1997,8,7.319
1997,9,7.245
1997,10,7.220
1997,11,7.224
1997,12,7.250
1998,1,7.282
1998,2,7.305
1998,3,7.334
1998,4,7.317
1998,5,7.338
1998,6,7.312
1998,7,7.290
1998,8,7.299
1998,9,7.305
1998,10,7.290
1998,11,7.284
1998,12,7.460
1999,1,7.472
1999,2,7.405
1999,3,7.454
1999,4,7.447
1999,5,7.398
1999,6,7.432
1999,7,7.430
1999,8,7.399
1999,9,7.435
1999,10,7.480
1999,11,7.324
1999,12,7.320
2000,1,7.432
2000,2,7.445
2000,3,7.514
2000,4,7.517
2000,5,7.498
2000,6,7.442
2000,7,7.470
2000,8,7.389
2000,9,7.405
2000,10,7.370
2000,11,7.394
2000,12,7.450
2001,1,7.522
2001,2,7.535
2001,3,7.504
2001,7,7.460
2001,8,7.449
2001,9,7.495
2001,10,7.490
2001,11,7.504
2001,12,7.470
2002,1,7.422
2002,2,7.325
2002,3,7.324
2002,4,7.287
2002,5,7.368
2002,6,7.392
2002,7,7.500
2002,8,7.439
2002,9,7.345
2002,10,7.290
2003,10,7.240
2003,11,7.254
2003,12,7.170
2004,1,7.362
2004,2,7.395
2004,3,7.374
2004,4,7.357
2004,5,7.408
2004,9,7.325
2004,10,7.380
2004,11,7.344
2004,12,7.380
2005,1,7.372
2005,2,7.375
2005,3,7.404
2005,4,7.437
2005,5,7.408
2005,6,7.422
2005,7,7.430
2005,8,7.439
2005,9,7.455
2005,10,7.440
2005,11,7.504
2005,12,7.470
2006,1,7.532
2006,2,7.525
2006,3,7.524
2006,4,7.507
2006,5,7.518
2006,6,7.522
2006,7,7.570
2006,8,7.579
2006,9,7.525
2006,10,7.530
2006,11,7.524
2006,12,7.510
2007,1,7.482
2007,2,7.485
2007,3,7.424
2007,4,7.397
2007,5,7.388
2007,6,7.342
2007,7,7.340
2007,8,7.439
2007,9,7.425
2007,10,7.410
2007,11,7.474
2007,12,7.420
2008,1,7.442
2008,2,7.465
2008,3,7.534
2008,4,7.577
2008,5,7.618
2008,6,7.552
2008,7,7.560
2008,8,7.589
2008,9,7.625
2008,10,7.570
2008,11,7.614
2008,12,7.650
2009,1,7.582
2009,2,7.515
2009,3,7.464
2009,4,7.437
2009,5,7.528
2009,6,7.652
2009,7,7.600
2009,8,7.579
2009,9,7.595
2009,10,7.550
2009,11,7.514
2009,12,7.470
2010,1,7.452
2010,2,7.465
2010,3,7.454
2010,4,7.457
2010,5,7.518
2010,6,7.462
2010,7,7.430
2010,8,7.529
2010,9,7.495
2010,10,7.600
2010,11,7.564
2010,12,7.720
2011,1,7.562
2011,2,7.615
2011,3,7.584
2011,4,7.547
2011,5,7.568
2011,6,7.572
2011,7,7.560
2011,8,7.499
2011,9,7.495
2011,10,7.460
2011,11,7.504
2011,12,7.590
2012,1,7.592
2012,2,7.625
2012,3,7.654
2012,4,7.637
2012,5,7.648
2012,6,7.652
2012,7,7.640
2012,8,7.659
2012,9,7.595
2012,10,7.570
2012,11,7.524
2012,12,7.550
2013,1,7.542
2013,2,7.555
2013,3,7.574
2013,4,7.627
2013,5,7.618
2013,6,7.612
2013,7,7.550
2013,8,7.579
2013,9,7.595
2013,10,7.620
2013,11,7.544
2013,12,7.580
2014,1,7.512
2014,2,7.525
2014,3,7.504
2014,4,7.537
2014,5,7.498
2014,6,7.512
2014,7,7.500
2014,8,7.439
2014,9,7.455
2014,10,7.460
2014,11,7.484
2014,12,7.510
2015,1,7.482
2015,2,7.485
2015,3,7.494
2015,4,7.497
2015,5,7.488
2015,6,7.472
2015,7,7.520
2015,8,7.489
2015,9,7.505
2015,10,7.650
2015,11,7.594
2015,12,7.500
2016,1,7.522
2016,2,7.535
2016,3,7.524
2016,4,7.507
2016,6,7.542
2016,7,7.510
2016,8,7.569
2016,9,7.555
2016,10,7.570
2016,11,7.554
2016,12,7.600
2017,1,7.592
2017,2,7.575
2017,3,7.534
2017,4,7.557
2017,5,7.568
2017,6,7.562
2017,7,7.560
2017,8,7.539
2017,9,7.555
2017,10,7.620
2017,11,7.594
2017,12,7.630
2018,1,7.632
2018,2,7.605
2018,3,7.604
2018,4,7.587
2018,5,7.578
2018,6,7.612
2018,7,7.650
2018,8,7.649
2018,9,7.535
2018,10,7.510
2018,11,7.514
2018,12,7.540
2019,1,7.588
2019,2,7.581
2019,3,7.598
2019,4,7.603
2019,5,7.608
2019,6,7.639
2019,7,7.617
2019,8,7.667
2019,9,7.658
2019,10,7.608
2019,11,7.702
2019,12,7.635
2020,1,7.602
2020,2,7.539
2020,3,7.554
2020,4,7.560
2020,5,7.572
2020,6,7.579
2020,7,7.556
2020,8,7.553
2020,9,7.559
2020,10,7.658
2020,11,7.665
2020,12,7.692
2021,1,7.638
2021,2,7.621
2021,3,7.620
2021,4,7.611
2021,5,7.538
2021,6,7.548
2021,7,7.599
2021,8,7.560
2021,9,7.568
2021,10,7.599
2021,11,7.612
2021,12,7.612
2022,1,7.665
2022,2,7.691
2022,3,7.702
2022,4,7.683
2022,5,7.666
2022,6,7.662
2022,7,7.670
2022,8,7.598
2022,9,7.690
2022,10,7.682
2022,11,7.651
2022,12,7.679
